title,abstract_plain,keywords,topics,authors,organisations,poster_location,file_name,landscape/ portrait,online/ in-person,presenter_time
"The DLCM Technology, The Swiss Army Knife of Digital Preservation: Research Data, Administrative/Heritage Data and Innovation","Developed with financial support from swissuniversities, the DLCM's open-access technology enables long-term digital preservation. This technology has been designed with Swiss know-how to build complete digital archiving solutions accessible via a simple, ergonomic Web portal. Its strengths lie in its modularity, scalability and open architecture, which comply with the OAIS standard and best archiving practices. DLCM facilitates data deposit for both research and administrative/patrimonial fields. It automatically qualifies submitted formats, informing users of any risk of obsolescence by assigning a compliance level to each file based on the file format’s identification with the PRONOM registry. The DLCM ensures the long-term survival of archives by replicating them and guaranteeing their integrity. It mitigates the preservation risks, like natural and man-made disasters, human errors or hardware failure and hardware obsolescence. The use of open standards enables the “FAIRness” of the archives by adhering to FAIR principles through the use of the DataCite schema for metadata, by assigning a persistent identifier (DOI or ARK) to each archive and by also using persistent identifiers in metadata for individuals (ORCID), institutions (ROR) and licenses (SPDX). DLCM provides access to archives via a simple search interface, while controlling access according to access levels and data sensitivity. In the most restricted way, the user must be logged in with secured authentication (MFA, multi-factor authentication), request access to the archive and provide a signed data use agreement. Designed using state-of-the-art software practices, DLCM guarantees maintainability by implementing continuous integration and automatic testing in line with “DevOps” practices. Thanks to its modularity, the integration of a DNA connector, carried out as part of the European DNAMIC.org project, will make it possible in future to archive information packages in molecules with unrivalled data density, longevity, and very low energy requirements.","Research Data Content, Repository Systems Software, Storage Media, General Digital Preservation, Open Source Software","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation","CAZEAUX, Hugues;
BURGI, Pierre-Yves","University of Geneva, Switzerland",6,Cazeaux_TheDLCMTechnology.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Forwarding the Email Archive: Stewarding Donna J. Haraway’s Digital Correspondence at UC Santa Cruz,"The preservation of email archives is an ongoing challenge in the area of personal papers and manuscript collecting, especially in public universities and other archival institutions with mandates and expectations to provide wide access to all collections in our stewardship. Much of the history we steward is in the form of personal and family papers, faculty papers, and organizational records, in formats ranging from paper files to photographs, oral history recordings, other audiovisual materials, and (increasingly) digital files. The stewardship of digital files (especially email), including acquisition, content review, preservation, and access, introduces many challenges not present in other formats.
In 2025, the UC Santa Cruz Special Collections & Archives processed and made accessible the papers of Donna J. Haraway, UCSC Distinguished Professor Emerita who has taught in the History of Consciousness and Feminist Studies departments since 1980. A prominent writer and interdisciplinary scholar in feminist science and technology studies, Haraway's work bridges biology, philosophy, and cultural theory, and delves critically into the epistemological foundations of scientific knowledge. Haraway transferred her email correspondence, beginning in 1998 and including over 85,000 messages, to the archives to be made available for research alongside the rest of her papers.
In UC Santa Cruz’s Center for Archival Research and Training, the presenters worked together to make this collection available to researchers; in doing so, we encountered a number of technical and ethical challenges related specifically to email files. In this poster, we outline the tools we used including ePADD, Mailbag, emailchemy, DArc, TreeSize Pro, and DART, as well as the new and difficult considerations we navigated while preparing these materials for research use.
In this poster, we reflect on how Haraway’s own scholarship can inform archival thinking about digital correspondence. When we spoke to Haraway about her wishes for the future of her archive, she emphasized the scale of environmental and technological change she anticipates in the coming years. Her writing and scholarship encourages us to think critically about systems of knowledge production and preservation, as well as the technical infrastructures that support this work and the relationships (between humans, other species, environments, and machines) that sustain them. By situating a practical case study of email processing beside these larger philosophical questions, this poster invites reflection on how archival preservation practices might adapt to, or, quoting Haraway, “stay with the trouble” of our uncertain present and futures.","Access, Email Content, Workflows, Preservation Tools, Strategy","File Formats, Content Integrity, Migrations, Content Preservation
Appraisal / Selection, Acquisition, Ingest
Discovery, Access, Delivery, Emulation
Legal / Ethical / Environmental Considerations, Policy, Strategy","Norton, Alix;
Berry, Annika","UC Santa Cruz, United States of America",9,151_Norton-Berry_Forwarding-the-Email-Archive.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
"Captioning: Everything, Everywhere, All At Once? Integrating Automated Speech Recognition into a Digital Preservation Workflow","From 2023 to 2025, Emory Libraries conducted a grant-funded project exploring the use of Whisper, an open-source automated speech recognition (ASR) software, for captioning and transcribing audiovisual (AV) materials. The project found that using Whisper expanded our capacity to provide accurate, high-quality captions and favorably transformed the experience of staff engaged in captioning work. Based on these results, we were subsequently tasked with creating and preserving captions and transcripts for all AV material in our digital preservation workflow. This poster describes our approach for transforming a pilot project into an ongoing service, the challenges we encountered in scaling up this work and integrating it into an existing workflow, and lessons learned for future integrations of automated description tools.","Access, Audiovisual Content, Metadata Extraction, Open Source Software","Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description
Discovery, Access, Delivery, Emulation","Rao, Nina;
O'Riordan, Simon","Emory University, United States of America",5,153_Rao-ORiordan_Captioning-Everything-Everywhere-All-At-Once.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Arch-I-Scan: Archiving Our Biggest Digital Collection Yet,"This poster explores the archival workflow and technical challenges encountered during the archival process of the Arch-I-Scan project (2019-2023), an AHRC-funded initiative that generated a massive AI training dataset of Roman ceramics.
Moving from a research-active environment to a permanent repository at the Archaeology Data Service (ADS) required managing an unusually large archaeological dataset of approximately 698.78 GB. The archiving process involved a high-volume migration of over 208,000 images from .JPG to .TIF for preservation and the conversion of 3D models from .FBX to .OBJ.
A key focus of this submission is the development of a custom query and results interface designed to allow users to navigate this huge dataset. This poster reflects on the scalability of digital preservation practices when faced with ""Big Data"" and the necessity of creating a bespoke interface.","Digital Preservation, Access, Born Digital Content","File Formats, Content Integrity, Migrations, Content Preservation
Appraisal / Selection, Acquisition, Ingest
Discovery, Access, Delivery, Emulation","Brunello, Marco","University of York, United Kingdom",7,MarcoBrunello_ArchIScanArchivingOurBiggestDigitalCollectionYet.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Accessing Quantum History in the New Century: A Collaborative (Re)vision of Archival Governance,"“Never in the history of science has so effective an effort been made to record decisive moments in the evolution of new ideas while key participants are still alive.” [1]
The Archive for the History of Quantum Physics (AHQP) was a momentous undertaking by historians and physical scientists in the 1960s to preserve primary source documentation of the 20th-century quantum revolution. A project undertaken and stewarded by institutions and individuals around the world, the archive remains a critical resource. However, outdated and ambiguous project policies have prevented institutions holding AHQP materials from offering broad access to documents holding significant insight into the early development of quantum physics. This poster will outline the collaborative undertaking by the American Institute of Physics and the American Philosophical Society, two of the project’s founding institutions, to revise AHQP’s governing convention and establish a new vision of greater access and preservation for the archive’s future.","Collaboration, Governance, Access","Community, Collaborations
Discovery, Access, Delivery, Emulation","Buser, Allison","American Institute of Physics (AIP), United States of America",9,156_Allison-Buser_Accessing-Quantum-History.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Let’s doWARC! Semantic Modelling of web archiving artefacts to support their sustainable long-term preservation,"This poster presents our work on using semantic technologies to tackle contextual-ambiguities and versioning -ambiguities commonly occurring in web archiving practices.
Web archives are stored in the ISO28500:2017 standard WARC file format. Typically, each WARC file is a composite of multiple web-hosted digital objects and is remarkably efficient in terms of retrieval and storage, allowing for effective bit-level preservation. However, aspects of web archiving practices in building and managing these born-digital collections can present significant challenges to digital preservation principles such as self-containment and self-description.
Because of the distributed and dynamic nature of living web content, web archives struggle to implement sustainable and accessible approaches to versioning and context-anchoring for each digital object.
As web archives are generally built from snapshotting of living web resources situated within the networked web, unique content is often interspersed with duplicate, or near-duplicate, material. This process can reduce the visibility of the relationship between digital objects within these collections, causing a loss of contextualisation that can have real implications for meaningful description. These issues are compounded when considering the vast scale at which most web archives operate.
To address the ensuing challenges, we leveraged the specific affordances offered by the Resource Description Framework (RDF) and experimented with a local and small-scale implementation in a Jupyter environment. We used standard web archiving tools such as WARCIO and FastWARC to extract data from WARC and CDX files, and the lightweight doWARC ontology, which we designed as a metadata tool compliant with the ISO WARC specifications, to describe it.
By implementing doWARC over sample data, we were able to ascertain that RDF can be used as a tool to mitigate context-related ambiguities at scale, over ever-growing collections of WARC and derivative CDX files. With doWARC, we represented web archiving artefacts as interlinked RDF graphs and, thus doing, we were able to formalise and disambiguate the relationships between these resources, whilst also defining the context in which they had been originally captured or derived.
The representation of WARC files as RDF graphs could provide the digital archivists with metadata that significantly enriches the related AIP, to support more sustainable long-term storage and preservation. Depending on local policy frameworks, RDF modelling with doWARC can also help digital repositories address issues with sustainable data-storing engendered by intensive web archiving versioning practices.","Metadata Extraction, Data Management, Born Digital Content, Preservation Tools, Web Archive Content","File Formats, Content Integrity, Migrations, Content Preservation
Technical Infrastructure, Tools, Storage, Bit Preservation
Metadata, Description","Storrar, Thomas (1);
Pallotto Strickland, Manuela (2)","1: The National Archives (UK), United Kingdom;
2: King’s College London, United Kingdom",26,167_Pallotto-Strickland-and-Storrar_Let’s-doWARC.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Introducing Dataflow Diagrams: Communicating Digital Preservation Workflows,"All digital preservation initiatives depend on robust workflows that weave digital preservation tools and processes into the infrastructure of the preserving institution and the roles and goals of the people involved. Sharing and communicating these workflows is crucial work, both within organisations and when comparing practices across different contexts. This poster proposes a standardised form of “dataflow diagram”, intended to help capture and illuminate the way digital data moves from place to place, The poster will use generic dataflows based on OAIS to set the stage, but the focus will be on documenting real workflows from the UK Web Archive (c.2023), the BFI National Archive, the Cambridge University Library, and The National Archives (UK).","Workflows, Strategy, Collaboration","Management, Organizations, Staffing, Repository Assessments, Costs
Community, Collaborations","Jackson, Andrew (1);
McConnachie, Stephen (2);
Wales, Lucy (2);
Talboom, Leontien (3);
Gostick, John (3);
Daly, Steve (4)","1: Digital Preservation Coalition, United Kingdom;
2: BFI National Archive, United Kingdom;
3: University of Cambridge Libraries & Archives, United Kingdom;
4: The National Archives, United Kingdom",20,168_AndyJackson_IntroducingDataflowDiagrams.pdf,landscape,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
Overcoming Barriers to Preserving and Sharing Qualitative Data: The Experience of FORS,"Archiving, sharing and reuse of qualitative social sciences data is not yet a common practice. In this poster, we will present the experience of FORS - Swiss center of expertise in the social sciences - concerning the preservation and sharing of qualitative data. We will describe the context and conditions which made it possible to overcome some of the (perceived) barriers.","Archives Content, Access, Social Sciences, Qualitative Data","Discovery, Access, Delivery, Emulation","Ferrez, Eliane;
Heers, Marieke","FORS, Switzerland",10,ElianeFerrez_OvercomingBarriersToPreservingAndSharingQualitativeData.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
"ADVOCACY AS A CORE DIGITAL PRESERVATION COMPETENCY: STRENGTHENING AWARENESS, ACTION AND ORGANISATIONAL SUPPORT","Advocacy plays a critical role in shaping successful digital preservation programs. Whether practitioners are securing resources, raising awareness of risks or building organizational capability, advocacy activities directly support long term digital preservation outcomes. This poster frames advocacy as an essential part of digital preservation practice, which has become a key skill necessary for practitioners across roles and sectors. It highlights how purposeful communication—through clear and meaningful messaging—can reinforce the importance of digital preservation, raise awareness and inspire action. The poster also showcases the Digital Preservation Coalition’s (DPC) extensive advocacy resources, including toolkits, models, templates and training opportunities, which practitioners can draw for support in their own advocacy endeavors; advancing digital preservation within their own organizational contexts.","General Digital Preservation, Community, People, People Capacity, Strategy","Community, Collaborations","Middleton, Sarah;
Waugh, Dorothy","Digital Preservation Coalition, United Kingdom",13,Sarah Middleton and Dorothy Waugh_Advocacy as a Core Digital Preservation Competency.pdf,portrait,,"Minute Madness Session: Wednesday, 23 September 2026: 11:00am - 11:45am and presenters are likely to be available during the lunch or afternoon to talk about their poster"
Adapting to Context: Generating Collaboration Opportunities,"This poster will outline and visualize how a need to fill a process gap, the creation of file listings for datasets in the repository, has resulted in greater community engagement and collaboration with the Canadian research data management and digital preservation communities as well as with various internal partners.","Collaboration, Community, Data Management, Research Data Content, Workflows","Community, Collaborations","Tomé, Amanda;
Bos, Maaike","Digital Research Alliance of Canada, Canada",11,1093_Tome?_Adapting-to-Context.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
FROM SIMULATION TO REALITY: CHINA'S FIRST AUTHENTIC-SCENARIO EMERGENCY DRILL FOR PRESERVING LICENSED ELECTRONIC JOURNALS IN BIOMEDICINE,"Digital preservation often confronts a fundamental paradox: while the ultimate objective is to ensure ongoing use, the practical feasibility of such use is seldom empirically validated under authentic operational conditions. This paper presents a pioneering emergency drill conducted by the National Digital Preservation Center (NDPC) Medical Branch in China. Moving beyond theoretical ""dark archive"" simulations, this exercise involved 25 participating libraries and executed a live switch-over of access rights for Karger Publishers' biomedical journals. Lasting 8 hours, the drill demonstrated 100% system availability, identified and resolved critical technical bottlenecks (such as cache overflows), and established a collaborative ""Warm Archiving"" framework. This initiative marks a significant milestone in validating the national infrastructure’s readiness to safeguard critical biomedical knowledge against real-world disruptions.","Authentic-Scenario Drill, Digital Preservation, Emergency Access, Biomedical Literature, Collaboration","Community, Collaborations","Peng, Yuanyuan (1);
Ren, Huiling (1,2);
Fu, Minjun (1)","1: Institute of Medical Information/Medical Library, Chinese Academy of Medical Sciences & Peking Union Medical College, China, People's Republic of;
2: Medical Center of National Digital Preservation Centre, National Science and Technology Library",8,Peng Yuanyuan_From Simulation to Reality_ China_s First Authentic-Scenario Emergency Drill for Preserving Licensed Electronic Journals in Biomedicine.pdf,portrait,,"Minute Madness Session: Tuesday, 22 September 2026: 11:00am - 11:45am and presenters are likely to be available later during the lunch or afternoon to talk about their poster"
